word,meaning
tank,[名]槽;坦克
teapot,[名]茶壺
tear,[動]撕;[名]眼淚
temperature,[名]溫度
tent,[名]帳篷
term,[名]術語;學期
terrific,[形]非常好的;可怕的
textbook,[名]教科書
Thanksgiving,[名]感恩節
therefore,[副]因此
thief,[名]小偷
through,[介]經過
thumb,[名]拇指
thunder,[名]雷
tiny,[形]微小的
tip,[動]給小費;使傾斜;[名]尖端;小費
title,[名]標題;頭銜
tofu,[名]豆腐
toilet,[名]馬桶
tongue,[名]舌頭
toothache,[名]牙痛
toothbrush,[名]牙刷
topic,[名]論題;話題
toward,[介]向;對
tower,[名]塔
trace,[動]追蹤;描繪;[名]蹤跡
trade,[名]貿易
tradition,[名]傳統
traditional,[形]傳統的
trap,[動]設陷阱;[名]陷阱;圈套
travel,[動]旅行;[名]旅行
treasure,[動]珍愛;[名]財寶
triangle,[名]三角形
trousers,[名]長褲
trumpet,[動]吹喇叭;[名]小喇叭
trust,[動]信任
truth,[名]事實;真相
tube,[名]管子
tunnel,[名]隧道
ugly,[形]醜的
underline,[動]劃線於...之下;強調;[名]底線
underpass,[名]地下通道
underwear,[名]內衣
unique,[形]獨特的
universe,[名]宇宙
university,[名]大學
upper,[形]較高的
upstairs,[形]樓上的;[副]樓上地;[名]樓上
usual,[形]例常的
Valentine,[名]情人節
valley,[名]山谷
valuable,[形]有價值的
value,[名]價值
vendor,[名]小販
victory,[名]勝利
village,[名]村落
visitor,[名]訪客
vocabulary,[名]字彙
volleyball,[名]排球
vote,[動]投票
waist,[名]腰
Walkman,[名]隨身聽
war,[名]戰爭
waste,[動]浪費;[名]浪費
waterfall,[名]瀑布
weekday,[名]工作日
weight,[名]重量
wheel,[名]輪子
while,[連]當...的時候;[名]一會兒
whole,[形]完整的
wide,[形]寬的
wild,[形]野生的;無法無天的
wing,[名]翅膀
winner,[名]贏家
wolf,[名]狼
women's room,[名]女廁所
wood,[名]木材
worm,[名]蠕蟲
wound,[動]傷害;[名]傷口
wrist,[名]手腕
yell,[動]吼叫
youth,[名]青少年;青少年時代
